5555	-216.01	299.948	-7.16792
5549	-216.01	299.948	7.83208
5281	-215.539	292.309	-7.16792
5277	-215.539	292.309	7.83208
6679	-215.497	299.839	-367.976
6676	-215.497	299.839	-352.976
3155	-215.027	292.2	-367.976
3152	-215.027	292.2	-352.976
5280	-214.301	285.55	-7.47698
5278	-214.301	285.55	7.52302
3154	-213.176	285.648	-366.307
3151	-213.176	285.648	-351.307
5551	-210.941	305.682	-7.16792
5557	-210.941	305.682	7.83208
6889	-210.428	305.574	-367.976
6891	-210.428	305.574	-352.976
5283	-209.127	273.935	-7.47698
2345	-209.127	273.935	7.52302
1989	-208.494	297.129	0.664161
6671	-208.002	274.033	-366.307
6667	-208.002	274.033	-351.307
2384	-207.886	296.495	7.83208
2067	-207.469	296.911	-360.952
5275	-207.256	290.37	0.355101
5276	-206.648	289.736	7.52302
1985	-206.018	283.61	0.0460413
2391	-205.648	296.515	-7.16792
3150	-205.618	290.359	-359.283
3132	-205.293	297.458	-367.976
3141	-205.135	296.406	-352.976
5547	-204.41	289.756	-7.47698
5322	-204.334	261.372	-8.83769
2340	-204.334	261.372	6.16231
3157	-204.218	287.755	-367.976
6674	-204.125	263.132	-366.422
4619	-204.125	263.132	-351.422
2071	-203.767	283.807	-357.614
5274	-203.555	276.556	-7.47698
2386	-203.302	306.153	7.83208
2390	-203.301	306.153	-7.16792
3149	-203.284	289.854	-351.307
3134	-203.133	298.125	-360.595
2385	-202.846	296.113	0.398262
3136	-202.789	306.044	-367.976
3138	-202.789	306.044	-352.976
6665	-202.429	276.655	-351.307
5051	-202.367	281.203	-366.307
2383	-202.239	295.479	7.56618
2356	-201.608	289.354	0.0892018
6386	-201.282	291.572	-358.926
2343	-201.224	271.048	-1.31467
2341	-200.987	268.058	8.1886
3133	-200.957	298.671	-367.619
3140	-200.8	297.619	-352.619
2355	-200.273	283.306	-4.40406
2354	-200.201	282.702	7.52302
2392	-200	295.5	-7.43382
5050	-199.89	272.906	-357.729
6392	-199.882	288.969	-367.619
5319	-199.771	249.503	-8.83769
5321	-199.771	249.503	6.16231
4628	-199.563	251.263	-366.422
4617	-199.563	251.263	-351.422
2068	-198.798	299.338	-360.237
3669	-198.761	263.994	-8.83769
2394	-198.665	289.451	-11.9271
5039	-198.553	265.754	-351.422
5047	-198.49	270.302	-366.422
3139	-198.454	307.257	-352.619
3135	-198.453	307.257	-367.619
2344	-197.877	277.733	0.711616
4052	-197.81	276.252	-11.9271
4783	-197.744	265.528	-106.777
2389	-197.654	305.138	-7.43382
2387	-197.654	305.138	7.56618
3562	-197.394	264.668	-162.388
4788	-197.279	265.528	-94.0796
7214	-197.239	264.668	-149.683
1987	-197.199	295.098	0.132362
5049	-197.117	280.29	-358.914
6385	-196.635	286.338	-352.607
1984	-196.43	258.485	-2.67538
4627	-196.261	240.413	-367.275
4625	-196.261	240.413	-352.275
2082	-196.013	262.005	-357.844
2352	-195.863	289.05	-4.3609
2353	-195.791	288.446	7.56618
4444	-195.78	273.138	-352.607
5048	-195.717	277.687	-367.607
3561	-195.604	257.931	-172.526
4704	-195.414	270.679	-6.8114
3671	-195.016	254.185	-8.83769
4615	-194.808	255.945	-351.422
6387	-194.633	288.056	-360.225
1986	-194.528	283.002	-8.85416
2346	-194.456	282.397	3.07292
2902	-194.009	255.718	-106.776
5318	-193.814	237.814	-8.39662
3658	-193.814	237.814	6.60338
3659	-193.791	249.689	4.91203
3564	-193.66	254.859	-162.388
4452	-193.643	265.449	-325.163
4778	-193.542	255.718	-94.0793
