6944	-217.309	301.321	-353.932
4625	-217.308	301.321	-368.932
4606	-216.838	293.682	-368.932
4608	-216.838	293.682	-353.932
5867	-216.613	299.677	-6.65979
5865	-216.613	299.677	8.34021
5862	-216.143	292.038	-6.65979
5859	-216.143	292.038	8.34021
4605	-214.824	283.614	-368.23
4609	-214.824	283.614	-353.23
5863	-212.768	284.818	-7.79518
5858	-212.768	284.818	7.20482
4623	-212.24	307.055	-353.932
4617	-212.239	307.055	-368.932
5861	-211.544	305.411	-6.65979
5869	-211.544	305.411	8.34021
2297	-211.091	299.875	-362.864
2385	-209.7	296.587	1.68042
6301	-209.65	272	-368.23
6303	-209.65	272	-353.23
3866	-209.077	289.807	-362.162
5857	-208.49	296.224	8.34021
6133	-207.595	273.203	-7.79518
6135	-207.595	273.203	7.20482
2580	-207.12	306.859	-6.65181
11144	-207.12	306.859	8.34819
4620	-207.104	298.94	-368.932
2296	-207.063	279.74	-361.461
3868	-206.947	297.888	-353.932
5854	-206.326	289.367	0.54503
5855	-206.251	296.244	-6.65979
5853	-205.277	298.034	1.6884
2575	-205.115	289.004	7.20482
4619	-205.09	288.872	-368.23
3867	-205.045	298.633	-361.038
3865	-204.932	287.82	-353.23
4614	-204.6	307.526	-368.932
3872	-204.6	307.526	-353.932
6132	-204.126	261.423	-7.99441
2461	-204.126	261.423	7.00559
6936	-204.077	274.621	-353.23
2576	-204.066	297.671	8.34819
4613	-204.015	279.17	-368.23
6300	-203.653	260.303	-367.524
6304	-203.653	260.303	-352.524
3864	-203.031	288.566	-360.336
2146	-202.952	282.146	-0.590356
3961	-202.877	289.024	-7.79518
3962	-202.022	275.824	-7.79518
2472	-201.902	290.814	0.553012
2582	-201.827	297.692	-6.65181
6302	-201.065	268.043	-360.755
6342	-201.058	297.698	-367.106
3860	-200.901	296.646	-352.106
2145	-200.853	299.482	1.69638
2462	-200.279	268.854	8.32419
4612	-199.983	287.996	-367.106
6139	-199.564	249.554	-7.99441
6127	-199.564	249.554	7.00559
